title,company,location,role_type,industry,experience_level,required_skills,nice_to_have_skills,description
Data Analyst Intern,FinSight,San Diego,Data Analyst,finance,Internship,"python, sql, excel, dashboards, data analysis","tableau, statistics, forecasting","Support reporting and business analysis by cleaning data, building dashboards, and identifying trends."
Business Analyst Intern,HealthBridge,Remote,Business Analyst,healthcare,Internship,"excel, sql, communication, reporting, analysis","python, tableau, process improvement","Work with operational data to create reports, track KPIs, and support decision-making."
Product Analyst,SportSphere,Remote,Product Analyst,sports,Entry-Level,"sql, experimentation, dashboards, product metrics, data analysis","python, a/b testing, statistics","Analyze user behavior, measure feature performance, and communicate insights to product teams."
Junior Data Analyst,ShopFlow,Chicago,Data Analyst,e-commerce,Entry-Level,"sql, excel, dashboards, data cleaning, reporting","python, tableau, forecasting","Create weekly reports, clean large datasets, and help teams understand business performance."
Machine Learning Engineer Intern,VisionCore,San Francisco,ML Engineer,consumer tech,Internship,"python, machine learning, pandas, data preprocessing, model evaluation","pytorch, deployment, deep learning","Build and evaluate machine learning models, prepare datasets, and help improve prediction performance."
Software Engineer Intern,PayWave,New York,Software Engineer,finance,Internship,"python, data structures, apis, git, problem solving","sql, cloud, testing","Develop backend services and internal tools while collaborating with product and engineering teams."
Analytics Engineer,MedIntel,Remote,Data Analyst,healthcare,Entry-Level,"sql, dbt, data modeling, dashboards, analytics","python, airflow, warehouse","Transform raw data into useful analytical tables and dashboards for business stakeholders."
Data Science Intern,EduSpark,Remote,ML Engineer,education,Internship,"python, statistics, machine learning, data visualization, pandas","sql, experimentation, scikit-learn","Explore datasets, prototype models, and communicate results to support education products."
Operations Analyst,GameTrack,San Diego,Business Analyst,sports,Entry-Level,"excel, reporting, process improvement, dashboards, communication","sql, python, operations analytics","Monitor business metrics and improve operational workflows through data-backed insights."
Associate Product Analyst,CoinLeaf,New York,Product Analyst,finance,Entry-Level,"sql, dashboards, product thinking, analysis, experimentation","python, statistics, data storytelling","Support product decisions through funnel analysis, KPI tracking, and experiment readouts."
Data Analyst,FitMarket,Remote,Data Analyst,consumer tech,Entry-Level,"sql, python, dashboards, communication, data analysis","tableau, forecasting, business intelligence","Use data to understand customer behavior and create reports for marketing and growth teams."
ML Research Intern,StatPlay,San Francisco,ML Engineer,sports,Internship,"python, machine learning, statistics, data processing, model evaluation","deep learning, pytorch, sports analytics","Prototype predictive models and analyze performance trends for sports-related datasets."
Software Engineer,HealthAxis,Chicago,Software Engineer,healthcare,Entry-Level,"python, apis, sql, testing, git","cloud, docker, monitoring","Build internal services and data-facing tools to support healthcare workflows."
Business Intelligence Analyst,RetailIQ,Remote,Data Analyst,e-commerce,Entry-Level,"sql, tableau, dashboards, business intelligence, reporting","python, forecasting, excel","Build dashboards, automate recurring reports, and surface trends for business stakeholders."
Product Data Analyst,FanPulse,San Diego,Product Analyst,sports,Entry-Level,"sql, python, product metrics, dashboards, analysis","a/b testing, experimentation, statistics","Partner with product teams to analyze feature adoption and improve user experience."
